
2025/02/27 (20:44:15) | ===> btop++ v.1.4.0
2025/02/27 (20:44:15) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (19:35:41) | ===> btop++ v.1.4.0
2025/03/01 (19:35:41) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:35:47) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:35:53) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:35:59) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:36:05) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:36:11) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (19:36:17) | ERROR: Stall in Runner thread, restarting!

2025/03/03 (22:34:16) | ===> btop++ v.1.4.0
2025/03/03 (22:34:16) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (23:02:36) | ===> btop++ v.1.4.0
2025/03/10 (23:02:36) | WARNING: Failed to join _runner thread on exit!
